true_labels,pred_labels,true_classes,pred_classes
0,0,covid,covid
0,0,covid,covid
0,0,covid,covid
2,2,normal,normal
2,2,normal,normal
2,0,normal,covid
1,1,lung_opacity,lung_opacity
0,0,covid,covid
2,0,normal,covid
1,1,lung_opacity,lung_opacity
2,2,normal,normal
1,1,lung_opacity,lung_opacity
2,2,normal,normal
2,1,normal,lung_opacity
2,0,normal,covid
2,1,normal,lung_opacity
0,0,covid,covid
0,0,covid,covid
2,0,normal,covid
1,1,lung_opacity,lung_opacity
0,0,covid,covid
1,1,lung_opacity,lung_opacity
0,0,covid,covid
2,0,normal,covid
3,3,viral_pneumonia,viral_pneumonia
1,1,lung_opacity,lung_opacity
2,2,normal,normal
2,0,normal,covid
2,0,normal,covid
2,0,normal,covid
0,0,covid,covid
3,2,viral_pneumonia,normal
1,1,lung_opacity,lung_opacity
2,2,normal,normal
1,1,lung_opacity,lung_opacity
2,2,normal,normal
2,2,normal,normal
0,0,covid,covid
2,1,normal,lung_opacity
2,2,normal,normal
0,0,covid,covid
2,0,normal,covid
2,2,normal,normal
2,2,normal,normal
0,0,covid,covid
0,0,covid,covid
0,0,covid,covid
2,0,normal,covid
2,2,normal,normal
1,1,lung_opacity,lung_opacity
1,0,lung_opacity,covid
3,1,viral_pneumonia,lung_opacity
2,2,normal,normal
2,0,normal,covid
0,0,covid,covid
2,2,normal,normal
2,2,normal,normal
2,0,normal,covid
0,0,covid,covid
2,0,normal,covid
1,0,lung_opacity,covid
3,2,viral_pneumonia,normal
2,0,normal,covid
1,1,lung_opacity,lung_opacity
3,3,viral_pneumonia,viral_pneumonia
2,2,normal,normal
3,0,viral_pneumonia,covid
2,0,normal,covid
2,2,normal,normal
2,0,normal,covid
2,1,normal,lung_opacity
1,1,lung_opacity,lung_opacity
1,0,lung_opacity,covid
2,2,normal,normal
2,0,normal,covid
2,0,normal,covid
1,1,lung_opacity,lung_opacity
2,2,normal,normal
2,0,normal,covid
2,0,normal,covid
1,1,lung_opacity,lung_opacity
2,2,normal,normal
1,1,lung_opacity,lung_opacity
0,0,covid,covid
2,0,normal,covid
2,2,normal,normal
0,0,covid,covid
2,0,normal,covid
1,1,lung_opacity,lung_opacity
2,1,normal,lung_opacity
1,1,lung_opacity,lung_opacity
2,0,normal,covid
2,0,normal,covid
2,2,normal,normal
0,0,covid,covid
1,1,lung_opacity,lung_opacity
1,0,lung_opacity,covid
0,0,covid,covid
2,1,normal,lung_opacity
1,1,lung_opacity,lung_opacity
2,2,normal,normal
0,0,covid,covid
2,0,normal,covid
1,1,lung_opacity,lung_opacity
1,1,lung_opacity,lung_opacity
2,2,normal,normal
2,2,normal,normal
1,1,lung_opacity,lung_opacity
2,2,normal,normal
2,2,normal,normal
2,2,normal,normal
2,2,normal,normal
1,1,lung_opacity,lung_opacity
1,0,lung_opacity,covid
2,2,normal,normal
0,0,covid,covid
2,0,normal,covid
0,0,covid,covid
0,2,covid,normal
2,2,normal,normal
2,0,normal,covid
1,0,lung_opacity,covid
1,1,lung_opacity,lung_opacity
2,2,normal,normal
2,0,normal,covid
2,2,normal,normal
0,0,covid,covid
3,1,viral_pneumonia,lung_opacity
1,0,lung_opacity,covid
2,2,normal,normal
2,2,normal,normal
2,2,normal,normal
1,1,lung_opacity,lung_opacity
2,2,normal,normal
2,2,normal,normal
0,1,covid,lung_opacity
2,0,normal,covid
3,3,viral_pneumonia,viral_pneumonia
1,1,lung_opacity,lung_opacity
2,2,normal,normal
1,0,lung_opacity,covid
1,1,lung_opacity,lung_opacity
2,2,normal,normal
1,1,lung_opacity,lung_opacity
2,2,normal,normal
0,0,covid,covid
1,2,lung_opacity,normal
2,2,normal,normal
0,0,covid,covid
2,2,normal,normal
1,1,lung_opacity,lung_opacity
2,0,normal,covid
2,2,normal,normal
2,0,normal,covid
2,2,normal,normal
2,2,normal,normal
0,0,covid,covid
0,0,covid,covid
0,0,covid,covid
2,2,normal,normal
1,1,lung_opacity,lung_opacity
0,0,covid,covid
2,2,normal,normal
1,0,lung_opacity,covid
2,0,normal,covid
2,2,normal,normal
2,2,normal,normal
1,1,lung_opacity,lung_opacity
1,1,lung_opacity,lung_opacity
2,2,normal,normal
2,1,normal,lung_opacity
2,1,normal,lung_opacity
0,0,covid,covid
1,1,lung_opacity,lung_opacity
1,1,lung_opacity,lung_opacity
2,2,normal,normal
0,0,covid,covid
1,1,lung_opacity,lung_opacity
0,0,covid,covid
2,2,normal,normal
0,0,covid,covid
2,2,normal,normal
2,1,normal,lung_opacity
2,0,normal,covid
3,3,viral_pneumonia,viral_pneumonia
2,0,normal,covid
2,0,normal,covid
0,0,covid,covid
2,2,normal,normal
0,0,covid,covid
0,1,covid,lung_opacity
0,1,covid,lung_opacity
2,2,normal,normal
1,1,lung_opacity,lung_opacity
2,2,normal,normal
1,0,lung_opacity,covid
2,2,normal,normal
3,3,viral_pneumonia,viral_pneumonia
2,0,normal,covid
2,1,normal,lung_opacity
1,1,lung_opacity,lung_opacity
2,0,normal,covid
0,0,covid,covid
2,0,normal,covid
2,2,normal,normal
1,1,lung_opacity,lung_opacity
2,2,normal,normal
1,1,lung_opacity,lung_opacity
0,0,covid,covid
